prop	clks	bids	imps	budget	spend	algo	para	revenue	roi	campaign
1	97	343862	343862	28795996	28795996	const	300	74696.468599	0.0025939880183	2261
1	96	343862	342216	28795996	28421607	lin	700	151449.463768	0.00532867349014	2261
1	67	343862	255334	28795996	13937828	mcpc	1	6003784.32367	0.430754657302	2261
1	91	343862	319519	28795996	23192295	ortb	1370	3892581.43961	0.16783942424	2261
1	77	343862	285448	28795996	19736949	rand	500	3181023.37198	0.161170977945	2261
16	15	343862	117777	1799749	1734916	const	30	2729624.07246	1.57334653232	2261
16	16	343862	88577	1799749	1691560	lin	16	3070616.07729	1.8152569683	2261
16	13	68946	41203	1799749	1799975	mcpc	1	2069561.0628	1.14994333122	2261
16	16	343862	99489	1799749	1755276	ortb	50	3006900.07729	1.71306397244	2261
16	16	325928	100030	1799749	1799761	rand	65	2962435.07729	1.64603411118	2261
2	66	338796	275310	14397998	14398065	const	160	5245981.31884	0.364354989625	2261
2	69	254704	217731	14397998	14398101	lin	150	6139063.33333	0.426388363443	2261
2	67	343862	255334	14397998	13937828	mcpc	1	6003784.32367	0.430754657302	2261
2	65	343862	265597	14397998	13970645	ortb	470	5375695.31401	0.384785048508	2261
2	64	319386	239715	14397998	14398031	rand	340	4650865.30918	0.323025233799	2261
32	9	154018	56056	899874	899878	const	35	1778850.04348	1.97677679706	2261
32	12	202247	48536	899874	899893	lin	16	2671759.05797	2.96904014008	2261
32	6	44036	23793	899874	899887	mcpc	1	885957.028986	0.984550945188	2261
32	12	194820	52575	899874	899876	ortb	50	2671776.05797	2.96911512283	2261
32	11	210323	56654	899874	899880	rand	55	2374134.05314	2.63833126984	2261
4	42	343862	213064	7198999	6969521	const	80	5531191.2029	0.793625731653	2261
4	44	343862	184924	7198999	6892154	lin	45	6203830.21256	0.900129366314	2261
4	41	191516	136524	7198999	7199032	mcpc	1	5004107.19807	0.695114425144	2261
4	44	343862	191161	7198999	6394529	ortb	170	6701455.21256	1.04799825172	2261
4	40	343862	192132	7198999	7193747	rand	170	4711693.19324	0.654970656215	2261
64	5	304630	52494	449937	449938	const	18	1038254.02415	2.30761063854	2261
64	8	216261	34619	449937	449954	lin	10	1931154.03865	4.29208292471	2261
64	3	22068	11922	449937	450002	mcpc	1	442976.014493	0.984539918238	2261
64	7	322722	45995	449937	449938	ortb	20	1633519.03382	3.63058285082	2261
64	7	196797	36993	449937	449942	rand	35	1633530.03382	3.63069606247	2261
8	25	315741	153960	3599499	3599517	const	55	3841433.12077	1.06722276403	2261
8	26	343862	126150	3599499	3255901	lin	25	4482635.1256	1.37677255101	2261
8	22	109546	72904	3599499	3599543	mcpc	1	2948520.10628	0.81915350537	2261
8	27	343862	133349	3599499	3041176	ortb	80	4994996.13043	1.64245546145	2261
8	29	343862	133551	3599499	3181833	rand	90	5449611.1401	1.71272695333	2261
