1458
dsp_l:  34
prop	clks	bids	imps	budget	spend	algo	para	revenue	roi	campaign
64	11	33181	18003	706507	706522	rand	140	245577.09128	0.347595748178	1458
64	8	31412	17486	706507	706526	rand	150	-14084.8427058	-0.0199359137867	1458
64	12	30006	17311	706507	706531	rand	160	332135.735941	0.470116937592	1458
64	9	27697	16815	706507	706549	rand	170	72500.801956	0.102623599141	1458
64	11	26043	16304	706507	706540	rand	180	245619.09128	0.347675864564	1458
64	9	24960	15957	706507	706562	rand	190	72562.801956	0.102720373771	1458
64	10	24088	15778	706507	706509	rand	200	159023.446618	0.225085309783	1458
64	10	23123	15419	706507	706510	rand	210	159036.446618	0.225107852366	1458
64	9	22058	15105	706507	706544	rand	220	72486.801956	0.102601749156	1458
64	12	21536	14934	706507	706564	rand	230	332124.735941	0.470094048525	1458
64	8	20605	14632	706507	706531	rand	240	-14045.8427058	-0.0198818100574	1458
64	8	20083	14448	706507	706565	rand	250	-14063.8427058	-0.0199067817516	1458
64	11	19368	14215	706507	706577	rand	260	245582.09128	0.347605285344	1458
64	7	18735	14002	706507	706508	rand	270	-100559.487368	-0.14234923781	1458
64	9	18280	13790	706507	706513	rand	280	72492.801956	0.102611113329	1458
64	9	17964	13768	706507	706575	rand	290	72498.801956	0.102620477662	1458
64	9	17781	13697	706507	706548	rand	300	72485.801956	0.102600188476	1458
64	10	17359	13534	706507	706508	rand	310	159057.446618	0.225144269059	1458
64	9	17148	13497	706507	706560	rand	320	72550.801956	0.102701641872	1458
64	9	16774	13333	706507	706513	rand	330	72530.801956	0.102670423454	1458
64	12	16657	13277	706507	706739	rand	340	332132.735941	0.470110695049	1458
64	7	16411	13234	706507	706518	rand	350	-100571.487368	-0.142363806364	1458
64	12	16212	13157	706507	706638	rand	360	332239.735941	0.470333378551	1458
64	6	16020	13069	706507	706510	rand	370	-187107.132029	-0.264865572085	1458
64	11	15610	12875	706507	706511	rand	380	245638.09128	0.34771211082	1458
64	7	15366	12760	706507	706552	rand	390	-100519.487368	-0.142300672389	1458
64	8	15315	12802	706507	706605	rand	400	-14035.8427058	-0.019867936344	1458
64	8	15220	12687	706507	706587	rand	410	-14057.8427058	-0.0198984579949	1458
64	9	15029	12665	706507	706547	rand	420	72478.801956	0.102589263839	1458
64	8	14762	12587	706507	706733	rand	430	-14071.8427058	-0.0199178798739	1458
64	10	14821	12525	706507	706601	rand	440	159058.446618	0.225146003241	1458
