prop	clks	bids	imps	budget	spend	algo	para	revenue	roi	campaign
64	0	417197	0	679649	0	rand	2	0.0	0.0	2259
64	0	417197	203	679649	356	rand	4	-356.0	-1.0	2259
64	0	417197	672	679649	1877	rand	6	-1877.0	-1.0	2259
64	0	417197	4121	679649	18627	rand	8	-18627.0	-1.0	2259
64	0	417197	6875	679649	33509	rand	10	-33509.0	-1.0	2259
64	0	417197	9662	679649	52072	rand	12	-52072.0	-1.0	2259
64	1	417197	12379	679649	72819	rand	14	-72541.3041071	-0.996186491261	2259
64	0	417197	15033	679649	97028	rand	16	-97028.0	-1.0	2259
64	1	417197	17243	679649	119863	rand	18	-119585.304107	-0.997683222572	2259
64	1	417197	19934	679649	149253	rand	20	-148975.304107	-0.998139428401	2259
64	0	417197	27747	679649	268211	rand	25	-268211.0	-1.0	2259
64	3	417197	34585	679649	389429	rand	30	-388595.912321	-0.997860745659	2259
64	2	417197	41974	679649	538440	rand	35	-537884.608214	-0.998968516853	2259
64	4	412988	47792	679649	679657	rand	40	-678529.216429	-0.998365629493	2259
64	5	316166	42358	679649	679681	rand	45	-678253.520536	-0.997957042878	2259
64	2	256763	38751	679649	679667	rand	50	-679084.608214	-0.999182814746	2259
64	3	214070	35554	679649	679662	rand	55	-678807.912321	-0.998774223923	2259
64	7	179748	32833	679649	679663	rand	60	-677665.12875	-0.997139721148	2259
64	4	153778	30282	679649	679657	rand	65	-678487.216429	-0.998365528487	2259
64	4	134243	28551	679649	679667	rand	70	-678524.216429	-0.998365617469	2259
64	3	117170	26860	679649	679660	rand	75	-678780.912321	-0.998774175225	2259
64	6	102994	25312	679649	679653	rand	80	-677946.824643	-0.997548346843	2259
64	7	92934	24171	679649	679702	rand	85	-677703.12875	-0.997139881071	2259
64	5	81865	22990	679649	679655	rand	90	-678222.520536	-0.99795694969	2259
64	7	76858	22385	679649	679679	rand	95	-677705.12875	-0.997139889487	2259
64	4	70743	21600	679649	679662	rand	100	-678490.216429	-0.998365535702	2259
64	3	60668	20135	679649	679685	rand	110	-678765.912321	-0.998774148169	2259
64	6	51726	18831	679649	679668	rand	120	-677971.824643	-0.997548437025	2259
64	2	46327	17920	679649	679651	rand	130	-679044.608214	-0.999182766648	2259
64	3	41634	17128	679649	679666	rand	140	-678783.912321	-0.998774180636	2259
64	3	37394	16312	679649	679678	rand	150	-678798.912321	-0.998774207691	2259
64	2	34283	15587	679649	679694	rand	160	-679068.608214	-0.999182795508	2259
64	3	31425	14990	679649	679651	rand	170	-678804.912321	-0.998774218513	2259
64	1	28686	14328	679649	679658	rand	180	-679317.304107	-0.999591380318	2259
64	2	26512	13653	679649	679653	rand	190	-679066.608214	-0.999182793103	2259
64	3	25140	13324	679649	679669	rand	200	-678725.912321	-0.998774076013	2259
64	1	23202	12747	679649	679714	rand	210	-679298.304107	-0.999591368893	2259
64	3	22118	12403	679649	679670	rand	220	-678685.912321	-0.998774003849	2259
64	2	20720	11952	679649	679662	rand	230	-679036.608214	-0.999182757028	2259
64	3	19682	11668	679649	679697	rand	240	-678793.912321	-0.998774198673	2259
64	2	18452	11194	679649	679723	rand	250	-679022.608214	-0.999182740192	2259
64	1	17438	10827	679649	679651	rand	260	-679220.304107	-0.999591321986	2259
64	2	16893	10633	679649	679668	rand	270	-679089.608214	-0.999182820758	2259
64	2	16296	10461	679649	679692	rand	280	-679020.608214	-0.999182737787	2259
64	2	15386	10110	679649	679668	rand	290	-679091.608214	-0.999182823163	2259
64	1	14925	9870	679649	679761	rand	300	-679250.304107	-0.999591340029	2259
64	1	14369	9751	679649	679662	rand	310	-679234.304107	-0.999591330406	2259
64	1	13879	9560	679649	679700	rand	320	-679291.304107	-0.999591364684	2259
64	2	13488	9405	679649	679730	rand	330	-679049.608214	-0.999182772661	2259
64	1	13147	9239	679649	679688	rand	340	-679364.304107	-0.999591408576	2259
64	1	12841	9132	679649	679717	rand	350	-679273.304107	-0.99959135386	2259
64	1	12519	9004	679649	679839	rand	360	-679296.304107	-0.999591367691	2259
64	1	12054	8814	679649	679697	rand	370	-679323.304107	-0.999591383925	2259
64	2	11796	8695	679649	679720	rand	380	-679063.608214	-0.999182789496	2259
64	2	11953	8815	679649	679704	rand	390	-679088.608214	-0.999182819556	2259
64	2	11514	8634	679649	679896	rand	400	-679051.608214	-0.999182775066	2259
64	0	11316	8566	679649	679709	rand	410	-679543.0	-1.0	2259
64	2	11031	8437	679649	679742	rand	420	-678928.608214	-0.999182627132	2259
64	2	10832	8349	679649	679690	rand	430	-679022.608214	-0.999182740192	2259
64	2	10867	8407	679649	679808	rand	440	-679081.608214	-0.999182811139	2259
64	0	10789	8315	679649	679789	rand	450	-679638.0	-1.0	2259
64	1	10492	8255	679649	679684	rand	460	-679205.304107	-0.999591312965	2259
64	2	10236	8155	679649	679824	rand	470	-679068.608214	-0.999182795508	2259
64	1	10391	8202	679649	679872	rand	480	-679347.304107	-0.999591398355	2259
64	2	10305	8155	679649	679757	rand	490	-679072.608214	-0.999182800318	2259
64	2	10087	8127	679649	679756	rand	500	-679040.608214	-0.999182761838	2259
64	1	417197	4493	679649	30792	lin	2	-30514.3041071	-0.99098155713	2259
64	4	417197	16974	679649	149937	lin	4	-148826.216429	-0.99259166469	2259
64	7	417197	26244	679649	269263	lin	6	-267319.12875	-0.992780771031	2259
64	9	417197	33761	679649	405029	lin	8	-402529.736964	-0.993829422003	2259
64	11	417197	40828	679649	579409	lin	10	-576354.345179	-0.994727981751	2259
64	11	358201	40586	679649	679660	lin	12	-676585.345179	-0.995505481106	2259
64	7	270788	34982	679649	679698	lin	14	-677704.12875	-0.997139885279	2259
64	5	214458	30635	679649	679661	lin	16	-678233.520536	-0.997956982758	2259
64	7	174768	27447	679649	679707	lin	18	-677693.12875	-0.997139838988	2259
64	6	147588	25034	679649	679654	lin	20	-677982.824643	-0.997548476703	2259
64	8	103333	20875	679649	679668	lin	25	-677376.432857	-0.996731056974	2259
64	9	80021	18617	679649	679793	lin	30	-677143.736964	-0.996322682591	2259
64	6	66798	17273	679649	679724	lin	35	-677792.824643	-0.997547791173	2259
64	4	57399	16270	679649	679672	lin	40	-678533.216429	-0.998365639112	2259
64	4	50547	15555	679649	679668	lin	45	-678537.216429	-0.998365648731	2259
64	3	46137	15175	679649	679668	lin	50	-678751.912321	-0.998774122915	2259
64	2	42977	14888	679649	679792	lin	55	-679086.608214	-0.999182817151	2259
64	3	40503	14659	679649	679710	lin	60	-678809.912321	-0.99877422753	2259
64	3	38342	14445	679649	679731	lin	65	-678796.912321	-0.998774204084	2259
64	3	36595	14308	679649	679701	lin	70	-678814.912321	-0.998774236548	2259
64	3	35042	14175	679649	679681	lin	75	-678579.912321	-0.998773812573	2259
64	3	33857	14039	679649	679665	lin	80	-678659.912321	-0.998773956938	2259
64	3	32628	13942	679649	679688	lin	85	-678779.912321	-0.998774173421	2259
64	4	31659	13821	679649	679718	lin	90	-678447.216429	-0.998365432279	2259
64	4	30176	13563	679649	679709	lin	95	-678518.216429	-0.99836560304	2259
64	4	28137	13125	679649	679656	lin	100	-678525.216429	-0.998365619874	2259
64	4	24675	12317	679649	679681	lin	110	-678510.216429	-0.998365583801	2259
64	3	22097	11696	679649	679703	lin	120	-678799.912321	-0.998774209495	2259
64	3	20025	11198	679649	679658	lin	130	-678782.912321	-0.998774178833	2259
64	3	18527	10818	679649	679784	lin	140	-678790.912321	-0.998774193262	2259
64	3	17132	10377	679649	679659	lin	150	-678793.912321	-0.998774198673	2259
64	3	15910	10076	679649	679669	lin	160	-678710.912321	-0.998774048953	2259
64	3	15067	9770	679649	679686	lin	170	-678787.912321	-0.998774187851	2259
64	3	14334	9582	679649	679735	lin	180	-678759.912321	-0.998774137346	2259
64	3	13619	9414	679649	679686	lin	190	-678809.912321	-0.99877422753	2259
64	3	13066	9183	679649	679667	lin	200	-678803.912321	-0.998774216709	2259
64	3	12634	9049	679649	679655	lin	210	-678809.912321	-0.99877422753	2259
64	2	12103	8911	679649	679670	lin	220	-678954.608214	-0.999182658407	2259
64	2	11622	8777	679649	679686	lin	230	-679044.608214	-0.999182766648	2259
64	2	11280	8638	679649	679693	lin	240	-679004.608214	-0.999182718545	2259
64	2	11005	8524	679649	679734	lin	250	-679078.608214	-0.999182807532	2259
64	2	10713	8417	679649	679664	lin	260	-679038.608214	-0.999182759433	2259
64	2	10469	8347	679649	679725	lin	270	-678969.608214	-0.999182676449	2259
64	2	10266	8302	679649	679831	lin	280	-679069.608214	-0.99918279671	2259
64	2	10096	8262	679649	679692	lin	290	-679066.608214	-0.999182793103	2259
64	2	9915	8210	679649	679743	lin	300	-679062.608214	-0.999182788293	2259
64	2	9743	8152	679649	679729	lin	310	-679070.608214	-0.999182797913	2259
64	2	9572	8106	679649	679748	lin	320	-679082.608214	-0.999182812342	2259
64	2	9444	8059	679649	679728	lin	330	-679000.608214	-0.999182713734	2259
64	2	9289	7976	679649	679741	lin	340	-678944.608214	-0.999182646379	2259
64	2	9187	7940	679649	679650	lin	350	-679075.608214	-0.999182803925	2259
64	2	9087	7888	679649	679734	lin	360	-679092.608214	-0.999182824365	2259
64	2	8985	7833	679649	679687	lin	370	-679051.608214	-0.999182775066	2259
64	2	8896	7787	679649	679662	lin	380	-678962.608214	-0.99918266803	2259
64	2	8829	7756	679649	679725	lin	390	-679003.608214	-0.999182717342	2259
64	2	8743	7713	679649	679700	lin	400	-679010.608214	-0.999182725761	2259
64	2	8493	7615	679649	679868	lin	450	-679087.608214	-0.999182818354	2259
64	2	8233	7517	679649	679683	lin	500	-679072.608214	-0.999182800318	2259
64	2	8042	7438	679649	679696	lin	550	-678988.608214	-0.999182699302	2259
64	2	7807	7341	679649	679727	lin	600	-678939.608214	-0.999182640364	2259
64	2	7678	7292	679649	679658	lin	650	-679052.608214	-0.999182776269	2259
64	2	7545	7229	679649	679651	lin	700	-679060.608214	-0.999182785888	2259
64	2	7481	7207	679649	679780	lin	750	-679081.608214	-0.999182811139	2259
64	4	30871	13743	679649	679773	mcpc	1	-678430.216429	-0.998365391387	2259
64	0	417197	85	679649	84	const	2	-84.0	-1.0	2259
64	0	417197	904	679649	1914	const	4	-1914.0	-1.0	2259
64	0	417197	13567	679649	63683	const	6	-63683.0	-1.0	2259
64	0	417197	16991	679649	85847	const	8	-85847.0	-1.0	2259
64	0	417197	21947	679649	128363	const	10	-128363.0	-1.0	2259
64	1	417197	26782	679649	178754	const	12	-178476.304107	-0.998446491307	2259
64	1	417197	32153	679649	246091	const	14	-245813.304107	-0.998871572334	2259
64	3	417197	36260	679649	305413	const	16	-304579.912321	-0.997272258618	2259
64	3	417197	40600	679649	376940	const	18	-376106.912321	-0.997789866614	2259
64	3	417197	44895	679649	456557	const	20	-455723.912321	-0.998175282213	2259
64	6	292451	48366	679649	679660	const	25	-677969.824643	-0.997548429811	2259
64	4	220405	42553	679649	679654	const	30	-678530.216429	-0.998365631898	2259
64	4	165691	37175	679649	679652	const	35	-678521.216429	-0.998365610255	2259
64	6	136273	33818	679649	679653	const	40	-677954.824643	-0.997548375702	2259
64	6	107353	30254	679649	679675	const	45	-677978.824643	-0.997548462275	2259
64	6	95422	28617	679649	679656	const	50	-677978.824643	-0.997548462275	2259
64	5	65938	24211	679649	679655	const	55	-678247.520536	-0.997957024842	2259
64	4	58385	22898	679649	679676	const	60	-678507.216429	-0.998365576587	2259
64	3	50485	21429	679649	679663	const	65	-678787.912321	-0.998774187851	2259
64	2	46113	20559	679649	679677	const	70	-679062.608214	-0.999182788293	2259
64	2	37442	18703	679649	679690	const	75	-679083.608214	-0.999182813544	2259
64	3	35554	18247	679649	679702	const	80	-678791.912321	-0.998774195066	2259
64	3	32756	17569	679649	679708	const	85	-678800.912321	-0.998774211298	2259
64	3	30944	17074	679649	679660	const	90	-678815.912321	-0.998774238352	2259
64	3	29132	16509	679649	679677	const	95	-678813.912321	-0.998774234745	2259
64	3	27867	16075	679649	679724	const	100	-678799.912321	-0.998774209495	2259
64	2	22867	14425	679649	679688	const	110	-679065.608214	-0.999182791901	2259
64	2	21133	13760	679649	679689	const	120	-679081.608214	-0.999182811139	2259
64	2	19456	13106	679649	679657	const	130	-679080.608214	-0.999182809937	2259
64	2	17988	12551	679649	679657	const	140	-679063.608214	-0.999182789496	2259
64	1	16159	11731	679649	679677	const	150	-679282.304107	-0.999591359272	2259
64	1	14777	11077	679649	679697	const	160	-679318.304107	-0.999591380919	2259
64	1	12467	10003	679649	679710	const	170	-679369.304107	-0.999591411582	2259
64	1	11903	9742	679649	679713	const	180	-679347.304107	-0.999591398355	2259
64	1	11334	9449	679649	679659	const	190	-679329.304107	-0.999591387533	2259
64	1	10837	9174	679649	679764	const	200	-679326.304107	-0.999591385729	2259
64	1	9698	8624	679649	679678	const	210	-679330.304107	-0.999591388134	2259
64	2	9405	8465	679649	679672	const	220	-679064.608214	-0.999182790698	2259
64	2	8754	8051	679649	679721	const	230	-679022.608214	-0.999182740192	2259
64	2	8524	7920	679649	679748	const	240	-678991.608214	-0.99918270291	2259
64	2	8334	7812	679649	679691	const	250	-678975.608214	-0.999182683666	2259
64	2	8164	7714	679649	679691	const	260	-679008.608214	-0.999182723355	2259
64	2	7794	7482	679649	679804	const	270	-679060.608214	-0.999182785888	2259
64	2	7621	7374	679649	679716	const	280	-678997.608214	-0.999182710126	2259
64	2	6974	6954	679649	679710	const	290	-678985.608214	-0.999182695694	2259
64	2	6908	6908	679649	679738	const	300	-679044.608214	-0.999182766648	2259
64	8	417197	34962	679649	387111	ortb	20	-384889.432857	-0.99426116245	2259
64	6	218085	35354	679649	679669	ortb	50	-677971.824643	-0.997548437025	2259
64	7	118844	26027	679649	679654	ortb	80	-677705.12875	-0.997139889487	2259
64	9	82266	22163	679649	679653	ortb	110	-677133.736964	-0.996322628484	2259
64	4	64569	19977	679649	679888	ortb	140	-678532.216429	-0.998365636707	2259
64	4	54047	18508	679649	679657	ortb	170	-678534.216429	-0.998365641517	2259
64	4	47268	17463	679649	679678	ortb	200	-678516.216429	-0.99836559823	2259
64	4	42663	16860	679649	679689	ortb	230	-678536.216429	-0.998365646326	2259
64	4	39515	16395	679649	679667	ortb	260	-678486.216429	-0.998365526082	2259
64	3	37043	16052	679649	679769	ortb	290	-678809.912321	-0.99877422753	2259
64	3	35033	15772	679649	679843	ortb	320	-678773.912321	-0.998774162599	2259
64	3	33568	15577	679649	679676	ortb	350	-678682.912321	-0.998773998436	2259
64	3	32166	15354	679649	679706	ortb	380	-678615.912321	-0.998773877541	2259
64	3	30999	15219	679649	679657	ortb	410	-678681.912321	-0.998773996632	2259
64	3	29008	14714	679649	679670	ortb	440	-678783.912321	-0.998774180636	2259
64	4	26925	14151	679649	679654	ortb	470	-678535.216429	-0.998365643921	2259
64	4	25330	13720	679649	679671	ortb	500	-678521.216429	-0.998365610255	2259
64	4	23897	13368	679649	679711	ortb	530	-678511.216429	-0.998365586206	2259
64	3	22646	12991	679649	679705	ortb	560	-678705.912321	-0.998774039932	2259
64	2	21464	12583	679649	679654	ortb	590	-679083.608214	-0.999182813544	2259
64	2	20295	12286	679649	679707	ortb	620	-679081.608214	-0.999182811139	2259
64	2	19463	11983	679649	679675	ortb	650	-678986.608214	-0.999182696896	2259
64	2	18732	11758	679649	679705	ortb	680	-679048.608214	-0.999182771459	2259
64	2	17911	11528	679649	679796	ortb	710	-679090.608214	-0.999182821961	2259
64	2	17259	11241	679649	679802	ortb	740	-679036.608214	-0.999182757028	2259
64	3	16706	11064	679649	679707	ortb	770	-678803.912321	-0.998774216709	2259
64	3	16154	10903	679649	679769	ortb	800	-678793.912321	-0.998774198673	2259
64	3	15626	10690	679649	679676	ortb	830	-678747.912321	-0.9987741157	2259
64	3	15174	10483	679649	679656	ortb	860	-678672.912321	-0.998773980394	2259
64	3	14834	10366	679649	679754	ortb	890	-678799.912321	-0.998774209495	2259
64	3	14451	10233	679649	679717	ortb	920	-678774.912321	-0.998774164403	2259
64	3	14071	10109	679649	679685	ortb	950	-678736.912321	-0.998774095857	2259
64	3	13742	10020	679649	679854	ortb	980	-678790.912321	-0.998774193262	2259
64	3	13454	9880	679649	679668	ortb	1010	-678782.912321	-0.998774178833	2259
64	3	13179	9752	679649	679847	ortb	1040	-678793.912321	-0.998774198673	2259
64	3	12960	9659	679649	679684	ortb	1070	-678783.912321	-0.998774180636	2259
64	3	12777	9589	679649	679657	ortb	1100	-678803.912321	-0.998774216709	2259
64	3	12566	9498	679649	679677	ortb	1130	-678784.912321	-0.99877418244	2259
64	2	12356	9425	679649	679682	ortb	1160	-678990.608214	-0.999182701707	2259
64	2	12127	9343	679649	679693	ortb	1190	-678981.608214	-0.999182690883	2259
64	2	11914	9261	679649	679736	ortb	1220	-679055.608214	-0.999182779876	2259
64	2	11694	9191	679649	679834	ortb	1250	-679051.608214	-0.999182775066	2259
64	2	11533	9126	679649	679651	ortb	1280	-679069.608214	-0.99918279671	2259
64	2	11345	9025	679649	679716	ortb	1310	-679000.608214	-0.999182713734	2259
64	2	11255	9000	679649	679752	ortb	1340	-679030.608214	-0.999182749813	2259
64	2	11118	8935	679649	679658	ortb	1370	-679046.608214	-0.999182769053	2259
16	0	417197	1	2718597	0	rand	2	0.0	0.0	2259
16	0	417197	204	2718597	366	rand	4	-366.0	-1.0	2259
16	0	417197	674	2718597	1806	rand	6	-1806.0	-1.0	2259
16	0	417197	3996	2718597	18095	rand	8	-18095.0	-1.0	2259
16	0	417197	6973	2718597	34127	rand	10	-34127.0	-1.0	2259
16	0	417197	9753	2718597	52421	rand	12	-52421.0	-1.0	2259
16	0	417197	12239	2718597	71900	rand	14	-71900.0	-1.0	2259
16	0	417197	14818	2718597	95157	rand	16	-95157.0	-1.0	2259
16	1	417197	17522	2718597	122181	rand	18	-121903.304107	-0.997727176133	2259
16	0	417197	19937	2718597	149639	rand	20	-149639.0	-1.0	2259
16	1	417197	27398	2718597	263822	rand	25	-263544.304107	-0.998947411918	2259
16	4	417197	34903	2718597	394504	rand	30	-393393.216429	-0.997184354097	2259
16	2	417197	41770	2718597	535847	rand	35	-535291.608214	-0.998963525436	2259
16	5	417197	48534	2718597	692039	rand	40	-690650.520536	-0.997993639861	2259
16	4	417197	55084	2718597	866075	rand	45	-864964.216429	-0.998717451062	2259
16	8	417197	61143	2718597	1044536	rand	50	-1042314.43286	-0.997873154068	2259
16	11	417197	68034	2718597	1275239	rand	55	-1272184.34518	-0.997604641309	2259
16	10	417197	74651	2718597	1522661	rand	60	-1519884.04107	-0.998176246106	2259
16	12	417197	80923	2718597	1781176	rand	65	-1777843.64929	-0.998129128893	2259
16	9	417197	87353	2718597	2051966	rand	70	-2049466.73696	-0.998782015377	2259
16	10	417197	93503	2718597	2343518	rand	75	-2340741.04107	-0.998815046896	2259
16	14	417197	99489	2718597	2634607	rand	80	-2630719.2575	-0.998524355815	2259
16	17	382706	97128	2718597	2718628	rand	85	-2713837.16982	-0.998263480059	2259
16	13	341349	92430	2718597	2718602	rand	90	-2714927.95339	-0.998672063217	2259
16	12	311935	88987	2718597	2718600	rand	95	-2715229.64929	-0.998774223021	2259
16	10	284604	85608	2718597	2718610	rand	100	-2715802.04107	-0.998978525572	2259
16	12	244197	79186	2718597	2718669	rand	110	-2715257.64929	-0.998774235646	2259
16	11	211726	73716	2718597	2718651	rand	120	-2715525.34518	-0.998876378543	2259
16	10	189342	69620	2718597	2718612	rand	130	-2715817.04107	-0.998978531208	2259
16	12	169971	65928	2718597	2718622	rand	140	-2715258.64929	-0.998774236097	2259
16	12	152417	62349	2718597	2718666	rand	150	-2715263.64929	-0.998774238352	2259
16	12	137750	59192	2718597	2718645	rand	160	-2715226.64929	-0.998774221669	2259
16	13	123496	56055	2718597	2718721	rand	170	-2714984.95339	-0.998672091059	2259
16	9	113133	53598	2718597	2718719	rand	180	-2716059.73696	-0.999080666252	2259
16	14	104154	51375	2718597	2718615	rand	190	-2714687.2575	-0.998569933697	2259
16	16	97913	49876	2718597	2718607	rand	200	-2714123.86571	-0.998365633701	2259
16	10	90261	47811	2718597	2718618	rand	210	-2715765.04107	-0.99897851167	2259
16	14	85970	46562	2718597	2718646	rand	220	-2714676.2575	-0.99856992791	2259
16	12	80724	45234	2718597	2718697	rand	230	-2715242.64929	-0.998774228883	2259
16	12	76073	43876	2718597	2718606	rand	240	-2715209.64929	-0.998774214004	2259
16	12	72184	42752	2718597	2718614	rand	250	-2715125.64929	-0.998774176127	2259
16	8	69072	41788	2718597	2718600	rand	260	-2716341.43286	-0.999182815648	2259
16	9	65518	40689	2718597	2718674	rand	270	-2715980.73696	-0.999080639535	2259
16	7	63458	39987	2718597	2718698	rand	280	-2716553.12875	-0.999284946332	2259
16	12	60384	38920	2718597	2718599	rand	290	-2715165.64929	-0.998774194164	2259
16	10	58050	38156	2718597	2718705	rand	300	-2715754.04107	-0.998978507536	2259
16	9	56612	37596	2718597	2718648	rand	310	-2716087.73696	-0.99908067572	2259
16	10	54574	36989	2718597	2718607	rand	320	-2715819.04107	-0.99897853196	2259
16	8	52638	36294	2718597	2718638	rand	330	-2716330.43286	-0.999182812342	2259
16	11	51179	35802	2718597	2718658	rand	340	-2715495.34518	-0.998876366143	2259
16	7	50539	35612	2718597	2718662	rand	350	-2716647.12875	-0.999284971057	2259
16	9	48624	34917	2718597	2718677	rand	360	-2716021.73696	-0.999080653401	2259
16	9	47775	34651	2718597	2718714	rand	370	-2716072.73696	-0.999080670648	2259
16	8	46790	34226	2718597	2718804	rand	380	-2716301.43286	-0.999182803624	2259
16	8	46025	34118	2718597	2718734	rand	390	-2716362.43286	-0.999182821961	2259
16	8	45295	33822	2718597	2718603	rand	400	-2716314.43286	-0.999182807532	2259
16	7	44910	33613	2718597	2718683	rand	410	-2716645.12875	-0.999284970531	2259
16	9	44183	33436	2718597	2718634	rand	420	-2715974.73696	-0.999080637506	2259
16	7	43352	33092	2718597	2718617	rand	430	-2716547.12875	-0.999284944754	2259
16	6	42769	32902	2718597	2718782	rand	440	-2716914.82464	-0.999387115794	2259
16	5	42549	32871	2718597	2718651	rand	450	-2717161.52054	-0.999489257338	2259
16	7	41725	32538	2718597	2718781	rand	460	-2716640.12875	-0.999284969216	2259
16	10	41349	32384	2718597	2718663	rand	470	-2715785.04107	-0.998978519185	2259
16	6	40683	32115	2718597	2718693	rand	480	-2716817.82464	-0.999387093925	2259
16	7	40225	32004	2718597	2718721	rand	490	-2716635.12875	-0.999284967901	2259
16	9	40243	31953	2718597	2718634	rand	500	-2716096.73696	-0.999080678764	2259
16	1	417197	4493	2718597	30792	lin	2	-30514.3041071	-0.99098155713	2259
16	4	417197	16974	2718597	149937	lin	4	-148826.216429	-0.99259166469	2259
16	7	417197	26244	2718597	269263	lin	6	-267319.12875	-0.992780771031	2259
16	9	417197	33761	2718597	405029	lin	8	-402529.736964	-0.993829422003	2259
16	11	417197	40828	2718597	579409	lin	10	-576354.345179	-0.994727981751	2259
16	13	417197	47993	2718597	800645	lin	12	-797034.953393	-0.99549107706	2259
16	13	417197	55623	2718597	1080507	lin	14	-1076896.95339	-0.996658932698	2259
16	13	417197	63460	2718597	1410592	lin	16	-1406981.95339	-0.997440757776	2259
16	17	417197	71140	2718597	1781864	lin	18	-1777143.16982	-0.997350622618	2259
16	19	417197	78755	2718597	2197354	lin	20	-2192077.77804	-0.997598829336	2259
16	21	339283	78896	2718597	2718735	lin	25	-2712753.38625	-0.997854908436	2259
16	17	252245	68474	2718597	2718685	lin	30	-2713707.16982	-0.998263397015	2259
16	19	200250	61003	2718597	2718627	lin	35	-2713317.77804	-0.998059209296	2259
16	21	164707	55328	2718597	2718736	lin	40	-2712754.38625	-0.997854909225	2259
16	20	139698	51198	2718597	2718768	lin	45	-2713018.08214	-0.997957045884	2259
16	19	122200	48288	2718597	2718676	lin	50	-2713305.77804	-0.998059200729	2259
16	19	109182	46066	2718597	2718622	lin	55	-2713295.77804	-0.99805919359	2259
16	18	99108	44223	2718597	2718714	lin	60	-2713433.47393	-0.998161246604	2259
16	17	91071	42768	2718597	2718611	lin	65	-2713861.16982	-0.998263495389	2259
16	16	84918	41673	2718597	2718639	lin	70	-2714066.86571	-0.998365599433	2259
16	17	79837	40732	2718597	2718633	lin	75	-2713845.16982	-0.998263485169	2259
16	16	75487	39887	2718597	2718600	lin	80	-2714076.86571	-0.998365605445	2259
16	14	72114	39287	2718597	2718690	lin	85	-2714634.2575	-0.998569905816	2259
16	12	69202	38687	2718597	2718647	lin	90	-2715231.64929	-0.998774223923	2259
16	11	66511	38141	2718597	2718718	lin	95	-2715521.34518	-0.998876376889	2259
16	9	64115	37649	2718597	2718707	lin	100	-2716065.73696	-0.999080668281	2259
16	10	60132	36797	2718597	2718634	lin	110	-2715731.04107	-0.998978498894	2259
