prop	clks	bids	imps	budget	spend	algo	para	revenue	roi	campaign
8	254	523848	93912	5453448	5248493	lin	50	-5209888.85328	-0.99264471788	3476
8	177	335426	90469	5453448	5453498	mcpc	1	-5426492.68516	-0.995067050934	3476
8	251	523848	106723	5453448	5047317	ortb	200	-5009168.80777	-0.992441887001	3476
8	66	521536	145816	5453448	5453471	rand	90	-5443390.00125	-0.99816060437	3476
1	97	343862	343862	28795996	28795996	const	300	-28767125.3075	-0.998997406012	2261
1	96	343862	342216	28795996	28421607	lin	700	-28393033.9435	-0.998994671327	2261
1	67	343862	255334	28795996	13937828	mcpc	1	-13917886.3877	-0.998569245343	2261
1	91	343862	319519	28795996	23192295	ortb	1370	-23165210.1236	-0.998832160576	2261
1	77	343862	285448	28795996	19736949	rand	500	-19714031.0276	-0.998838829022	2261
16	15	343862	117777	1799749	1734916	const	30	-1730451.45993	-0.997426653468	2261
16	16	343862	88577	1799749	1691560	lin	16	-1686797.82392	-0.997184743032	2261
16	13	68946	41203	1799749	1799975	mcpc	1	-1795837.73194	-0.997850056669	2261
16	16	343862	99489	1799749	1755276	ortb	50	-1750513.82392	-0.997286936028	2261
16	16	325928	100030	1799749	1799761	rand	65	-1794978.82392	-0.997353965889	2261
2	66	338796	275310	14397998	14398065	const	160	-14378351.0237	-0.99863564501	2261
2	69	254704	217731	14397998	14398101	lin	150	-14377284.1157	-0.998573611637	2261
2	67	343862	255334	14397998	13937828	mcpc	1	-13917886.3877	-0.998569245343	2261
2	65	343862	265597	14397998	13970645	ortb	470	-13951298.6597	-0.998615214951	2261
2	64	319386	239715	14397998	14398031	rand	340	-14378790.2957	-0.998676974766	2261
32	9	154018	56056	899874	899878	const	35	-897195.275957	-0.997023223203	2261
32	12	202247	48536	899874	899893	lin	16	-896301.367942	-0.99603095986	2261
32	6	44036	23793	899874	899887	mcpc	1	-898073.183971	-0.998015449055	2261
32	12	194820	52575	899874	899876	ortb	50	-896284.367942	-0.996030884877	2261
32	11	210323	56654	899874	899880	rand	55	-896588.003947	-0.99636166873	2261
4	42	343862	213064	7198999	6969521	const	80	-6957020.2878	-0.998206374268	2261
4	44	343862	184924	7198999	6892154	lin	45	-6879058.01579	-0.998099870634	2261
4	41	191516	136524	7198999	7199032	mcpc	1	-7186765.9238	-0.998304885575	2261
4	44	343862	191161	7198999	6394529	ortb	170	-6381433.01579	-0.997952001748	2261
4	40	343862	192132	7198999	7193747	rand	170	-7181841.55981	-0.998345029344	2261
64	5	304630	52494	449937	449938	const	18	-448437.819976	-0.996692389361	2261
64	8	216261	34619	449937	449954	lin	10	-447552.911961	-0.994707917075	2261
64	3	22068	11922	449937	450002	mcpc	1	-449039.091986	-0.998015460082	2261
64	7	322722	45995	449937	449938	ortb	20	-447849.547966	-0.995369417149	2261
64	7	196797	36993	449937	449942	rand	35	-447838.547966	-0.995369303938	2261
8	25	315741	153960	3599499	3599517	const	55	-3592026.09988	-0.997932777236	2261
8	26	343862	126150	3599499	3255901	lin	25	-3248162.46387	-0.997623227449	2261
8	22	109546	72904	3599499	3599543	mcpc	1	-3592924.00789	-0.998180846495	2261
8	27	343862	133349	3599499	3041176	ortb	80	-3033139.82787	-0.997357544539	2261
8	29	343862	133551	3599499	3181833	rand	90	-3173201.55586	-0.997287273047	2261
1	530	156063	156063	8617148	8617148	const	280	-8609619.07468	-0.999126285713	2997
1	529	156063	155724	8617148	8545769	lin	650	-8538254.28019	-0.999120650253	2997
1	232	156063	89769	8617148	1987902	mcpc	1	-1984606.31948	-0.998342131292	2997
1	459	156063	144069	8617148	6368601	ortb	1340	-6362080.66656	-0.998976174918	2997
1	443	156063	138372	8617148	6518810	rand	490	-6512516.95487	-0.999034632835	2997
16	108	156063	56257	538571	516466	const	20	-514931.803896	-0.997029434457	2997
16	105	143319	51753	538571	538576	lin	30	-537077.420455	-0.997230476419	2997
16	57	55602	26080	538571	538593	mcpc	1	-537759.28539	-0.998496544342	2997
16	112	154638	55314	538571	538574	ortb	80	-536965.981818	-0.99704577569	2997
16	94	148908	47429	538571	538573	rand	40	-537225.681169	-0.997520580155	2997
2	364	156063	130741	4308574	4294560	const	110	-4289389.19091	-0.998795963011	2997
2	357	150547	118723	4308574	4308579	lin	110	-4303483.62955	-0.998822953298	2997
2	232	156063	89769	4308574	1987902	mcpc	1	-1984606.31948	-0.998342131292	2997
2	372	156063	126988	4308574	4239618	ortb	620	-4234333.54675	-0.998753554389	2997
2	344	155032	119008	4308574	4308640	rand	240	-4303666.3013	-0.998865814416	2997
32	75	153263	39744	269285	269288	const	12	-268214.586039	-0.996043471624	2997
32	77	156063	37650	269285	267117	lin	16	-266023.175	-0.99590507156	2997
32	23	31650	13656	269285	269286	mcpc	1	-268941.273052	-0.998786610559	2997
32	64	131435	35391	269285	269297	ortb	50	-268372.846753	-0.996623787528	2997
32	61	149752	32709	269285	269291	rand	25	-268417.463312	-0.996782071388	2997
4	238	156063	102405	2154287	2103864	const	55	-2100483.08636	-0.998392998009	2997
4	237	156063	91518	2154287	2094876	lin	65	-2091509.29188	-0.998392884296	2997
4	232	156063	89769	2154287	1987902	mcpc	1	-1984606.31948	-0.998342131292	2997
