prop	clks	bids	imps	budget	spend	algo	para	revenue	roi	campaign
64	0	536795	2	724320	0	rand	2	0.0	0.0	3427
64	0	536795	175	724320	182	rand	4	-182.0	-1.0	3427
64	0	536795	597	724320	1704	rand	6	-1704.0	-1.0	3427
64	0	536795	3365	724320	15190	rand	8	-15190.0	-1.0	3427
64	0	536795	5605	724320	27240	rand	10	-27240.0	-1.0	3427
64	1	536795	7674	724320	40626	rand	12	68532.7268951	1.68691790713	3427
64	1	536795	10169	724320	61304	rand	14	47854.7268951	0.780613449287	3427
64	1	536795	12565	724320	83810	rand	16	25348.7268951	0.302454681961	3427
64	0	536795	14882	724320	108779	rand	18	-108779.0	-1.0	3427
64	3	536795	17291	724320	137851	rand	20	189625.180685	1.37558074069	3427
64	2	536795	24866	724320	258853	rand	25	-40535.5462098	-0.156596779677	3427
64	2	536795	34255	724320	436132	rand	30	-217814.54621	-0.499423445676	3427
64	3	536795	43029	724320	619299	rand	35	-291822.819315	-0.471214743306	3427
64	6	457063	44413	724320	724327	rand	40	-69359.6386293	-0.0957593393859	3427
64	7	343127	41173	724320	724329	rand	45	39815.0882658	0.0549707416109	3427
64	5	279468	38649	724320	724322	rand	50	-178521.365524	-0.246469237175	3427
64	6	234225	36488	724320	724325	rand	55	-69356.6386293	-0.0957555941308	3427
64	3	200386	34651	724320	724324	rand	60	-396811.819315	-0.547864688238	3427
64	6	171315	32349	724320	724363	rand	65	-69355.6386293	-0.0957543457055	3427
64	1	152409	30331	724320	724328	rand	70	-615151.273105	-0.849292807092	3427
64	4	132588	28761	724320	724359	rand	75	-287660.09242	-0.397158743909	3427
64	2	113367	26526	724320	724324	rand	80	-505987.54621	-0.69858353347	3427
64	5	93237	24119	724320	724375	rand	85	-178515.365524	-0.246462995109	3427
64	9	80559	22319	724320	724333	rand	90	258174.542056	0.356469611567	3427
64	5	70476	20890	724320	724343	rand	95	-178504.365524	-0.246451551053	3427
64	5	59716	19431	724320	724333	rand	100	-178521.365524	-0.246469237175	3427
64	3	49101	18086	724320	724361	rand	110	-396807.819315	-0.547862191233	3427
64	7	42479	17114	724320	724347	rand	120	39805.0882658	0.0549561763479	3427
64	10	37870	16275	724320	724343	rand	130	367332.268951	0.507186376278	3427
64	6	35258	15898	724320	724328	rand	140	-69352.6386293	-0.0957506004091	3427
64	5	32117	15604	724320	724389	rand	150	-178518.365524	-0.246466116155	3427
