prop	clks	bids	imps	budget	spend	algo	para	revenue	roi	campaign
64	0	661964	0	1066517	0	rand	2	0.0	0.0	2821
64	1	661964	2530	1066517	3883	rand	4	136190.710558	35.07357985	2821
64	1	661964	4837	1066517	9474	rand	6	130599.710558	13.7850655011	2821
64	3	661964	9988	1066517	31580	rand	8	388641.131673	12.306558951	2821
64	2	661964	13914	1066517	51583	rand	10	228564.421115	4.43100287139	2821
64	5	661964	17939	1066517	76911	rand	12	623457.552788	8.10622086292	2821
64	8	661964	21772	1066517	106330	rand	14	1014259.68446	9.53879135202	2821
64	7	661964	25691	1066517	140168	rand	16	840347.973903	5.99529117846	2821
64	5	661964	29489	1066517	178508	rand	18	521860.552788	2.92345750772	2821
64	6	661964	32972	1066517	218336	rand	20	622106.263345	2.84930686348	2821
64	14	661964	45195	1066517	405610	rand	25	1555421.94781	3.83477218956	2821
64	17	661964	56851	1066517	612196	rand	30	1769057.07948	2.88969068644	2821
64	18	661964	67879	1066517	843059	rand	35	1678267.79004	1.99068842161	2821
64	24	637632	76396	1066517	1066535	rand	40	2295254.05338	2.15210667771	2821
64	21	500010	69659	1066517	1066523	rand	45	1875033.92171	1.75809592908	2821
64	15	406864	64511	1066517	1066523	rand	50	1034602.65836	0.970088840222	2821
64	17	338653	59086	1066517	1066527	rand	55	1314738.07948	1.23274223005	2821
64	12	285717	54382	1066517	1066520	rand	60	614384.52669	0.57607550557	2821
64	15	245957	50937	1066517	1066533	rand	65	1034596.65836	0.970077756834	2821
64	13	214485	47763	1066517	1066532	rand	70	754456.237248	0.707411929136	2821
64	15	189306	44886	1066517	1066540	rand	75	1034606.65836	0.970096229216	2821
64	15	163682	41741	1066517	1066526	rand	80	1034624.65836	0.970129480378	2821
64	9	146560	39623	1066517	1066520	rand	85	194194.395018	0.182090989066	2821
64	10	130420	37376	1066517	1066568	rand	90	334239.105575	0.313398717649	2821
64	13	119395	35798	1066517	1066546	rand	95	754451.237248	0.707403924445	2821
64	13	110397	34484	1066517	1066527	rand	100	754481.237248	0.70745195372	2821
64	12	93370	31709	1066517	1066543	rand	110	614375.52669	0.576062205467	2821
64	8	81405	29627	1066517	1066527	rand	120	54126.6844603	0.0507534574198	2821
64	11	71849	27793	1066517	1066594	rand	130	474334.816133	0.444768392475	2821
64	6	63786	26269	1066517	1066537	rand	140	-226032.736655	-0.211943774261	2821
64	8	58333	25148	1066517	1066561	rand	150	54155.6844603	0.050782031012	2821
64	6	52484	23788	1066517	1066526	rand	160	-226032.736655	-0.211943774261	2821
