prop	clks	bids	imps	budget	spend	algo	para	revenue	roi	campaign
64	1	156063	1	134642	0	rand	2	14.2055194805	0.0	2997
64	1	156063	1	134642	0	rand	4	14.2055194805	0.0	2997
64	1	156063	1	134642	0	rand	6	14.2055194805	0.0	2997
64	9	156063	3957	134642	23163	rand	8	-23035.1503247	-0.994480435379	2997
64	16	156063	9668	134642	57901	rand	10	-57673.7116883	-0.996074535644	2997
64	21	156063	14108	134642	87176	rand	12	-86877.6840909	-0.996578004163	2997
64	35	156063	18035	134642	115397	rand	14	-114899.806818	-0.995691454875	2997
64	41	144461	20073	134642	134646	rand	16	-134057.573701	-0.995674195642	2997
64	42	123635	19217	134642	134646	rand	18	-134043.368182	-0.995568688219	2997
64	34	108656	18380	134642	134645	rand	20	-134156.012338	-0.996412720962	2997
64	23	81536	16194	134642	134644	rand	25	-134311.273052	-0.997573293215	2997
64	22	65850	14433	134642	134643	rand	30	-134309.478571	-0.997678526329	2997
64	21	51589	12202	134642	134644	rand	35	-134329.684091	-0.997784146618	2997
64	20	41284	10659	134642	134644	rand	40	-134354.88961	-0.99788983586	2997
64	15	34263	9735	134642	134645	rand	45	-134419.917208	-0.998417306365	2997
64	13	27919	8917	134642	134647	rand	50	-134456.328247	-0.998628413683	2997
64	16	24635	8358	134642	134666	rand	55	-134403.711688	-0.998311768377	2997
64	12	21164	7792	134642	134665	rand	60	-134461.533766	-0.998733835687	2997
64	7	19251	7458	134642	134644	rand	65	-134535.561364	-0.999261420609	2997
64	11	17138	6982	134642	134643	rand	70	-134480.739286	-0.998839392483	2997
64	11	15927	6733	134642	134650	rand	75	-134470.739286	-0.998839306274	2997
64	9	14401	6399	134642	134658	rand	80	-134476.150325	-0.999050179227	2997
64	9	13117	6159	134642	134656	rand	85	-134498.150325	-0.999050334443	2997
64	8	12128	5813	134642	134681	rand	90	-134517.355844	-0.999155884188	2997
64	12	11928	5807	134642	134643	rand	95	-134457.533766	-0.998733798068	2997
64	6	11003	5508	134642	134663	rand	100	-134550.766883	-0.999366936652	2997
64	6	9907	5256	134642	134659	rand	110	-134553.766883	-0.999366950758	2997
64	6	8715	4929	134642	134655	rand	120	-134537.766883	-0.99936687552	2997
64	6	8260	4764	134642	134643	rand	130	-134551.766883	-0.999366941354	2997
64	4	7408	4501	134642	134649	rand	140	-134473.177922	-0.999577625229	2997
64	8	7066	4317	134642	134663	rand	150	-134519.355844	-0.999155896728	2997
64	9	6573	4190	134642	134687	rand	160	-134511.150325	-0.999050426137	2997
64	7	6097	4010	134642	134645	rand	170	-134539.561364	-0.999261442551	2997
64	7	5751	3866	134642	134746	rand	180	-134536.561364	-0.999261426094	2997
64	7	5615	3785	134642	134656	rand	190	-134509.561364	-0.99926127795	2997
64	6	5305	3713	134642	134663	rand	200	-134505.766883	-0.99936672499	2997
64	6	5094	3627	134642	134726	rand	210	-134536.766883	-0.999366870817	2997
64	7	4831	3515	134642	134685	rand	220	-134527.561364	-0.99926137672	2997
