prop	clks	bids	imps	budget	spend	algo	para	revenue	roi	campaign
64	0	545421	1	714305	0	rand	2	0.0	0.0	3386
64	0	545421	2	714305	0	rand	4	0.0	0.0	3386
64	0	545421	228	714305	904	rand	6	-904.0	-1.0	3386
64	0	545421	2909	714305	14218	rand	8	-14218.0	-1.0	3386
64	0	545421	5171	714305	27092	rand	10	-27092.0	-1.0	3386
64	0	545421	7736	714305	44554	rand	12	-44554.0	-1.0	3386
64	0	545421	10023	714305	63412	rand	14	-63412.0	-1.0	3386
64	0	545421	12413	714305	85346	rand	16	-85346.0	-1.0	3386
64	1	545421	14910	714305	111529	rand	18	-6005.48651252	-0.0538468605701	3386
64	2	545421	17193	714305	139614	rand	20	71433.026975	0.511646589704	3386
64	4	545421	28992	714305	338656	rand	25	83438.0539499	0.246379966544	3386
64	2	545421	39515	714305	531656	rand	30	-320608.973025	-0.603038380127	3386
64	6	515161	47076	714305	714312	rand	35	-81140.9190751	-0.113597877414	3386
64	5	377967	43382	714305	714307	rand	40	-186683.432563	-0.261351212672	3386
64	5	302851	40593	714305	714312	rand	45	-186675.432563	-0.26134293989	3386
64	7	247884	38266	714305	714315	rand	50	24365.5944123	0.034111197709	3386
64	8	204222	35798	714305	714328	rand	55	129890.1079	0.18184302336	3386
64	10	175526	33622	714305	714306	rand	60	340979.134875	0.477390648276	3386
64	9	153965	31178	714305	714309	rand	65	235407.621387	0.329562233149	3386
64	1	135629	29510	714305	714319	rand	70	-608745.486513	-0.852263624086	3386
64	7	112500	27012	714305	714306	rand	75	24400.5944123	0.0341618706981	3386
64	8	93504	24737	714305	714325	rand	80	129922.1079	0.181895971389	3386
64	5	78936	22964	714305	714307	rand	85	-186669.432563	-0.261336735182	3386
64	9	68779	21627	714305	714325	rand	90	235445.621387	0.329632967812	3386
64	10	59831	20339	714305	714359	rand	95	340956.134875	0.47734307585	3386
64	6	54658	19762	714305	714334	rand	100	-81141.9190751	-0.113599118382	3386
64	7	46182	18450	714305	714372	rand	110	24362.5944123	0.034106854541	3386
64	6	40194	17633	714305	714335	rand	120	-81140.9190751	-0.113597877414	3386
64	6	37349	17140	714305	714352	rand	130	-81160.9190751	-0.113622696108	3386
64	6	35172	16887	714305	714309	rand	140	-81080.9190751	-0.113523412994	3386
64	9	32814	16567	714305	714319	rand	150	235462.621387	0.329664614703	3386
64	11	30456	16111	714305	714320	rand	160	446458.648362	0.625029607115	3386
64	8	28829	15862	714305	714349	rand	170	130000.1079	0.182025052087	3386
64	14	27174	15379	714305	714309	rand	180	763090.188825	1.06839613746	3386
64	6	26299	15166	714305	714310	rand	190	-81098.9190751	-0.113545753633	3386
64	12	25012	14737	714305	714358	rand	200	551994.16185	0.772789353664	3386
64	8	23978	14396	714305	714321	rand	210	129887.1079	0.181838059725	3386
64	9	22963	14014	714305	714332	rand	220	235411.621387	0.329569678549	3386
64	8	21672	13559	714305	714365	rand	230	129884.1079	0.181833096132	3386
64	9	21026	13490	714305	714460	rand	240	235415.621387	0.329577124032	3386
64	8	20419	13385	714305	714336	rand	250	129927.1079	0.181904244947	3386
64	10	19664	13272	714305	714353	rand	260	340956.134875	0.47734307585	3386
64	6	18695	12978	714305	714322	rand	270	-81160.9190751	-0.113622696108	3386
64	9	18139	12724	714305	714533	rand	280	235413.621387	0.32957340128	3386
64	11	17363	12254	714305	714387	rand	290	446611.648362	0.625377756067	3386
64	8	16959	12131	714305	714356	rand	300	130032.1079	0.182078016428	3386
64	9	16373	11987	714305	714503	rand	310	235454.621387	0.329649721861	3386
64	11	15768	11627	714305	714349	rand	320	446479.648362	0.625077383435	3386
64	12	15549	11553	714305	714361	rand	330	552003.16185	0.772811691019	3386
64	11	14864	11266	714305	714393	rand	340	446601.648362	0.625354996678	3386
64	7	14695	11200	714305	714355	rand	350	24359.5944123	0.0341025114095	3386
64	12	14284	11024	714305	714427	rand	360	551995.16185	0.772791835564	3386
64	6	13991	10856	714305	714312	rand	370	-81110.9190751	-0.113560646768	3386
64	10	13922	10793	714305	714346	rand	380	340967.134875	0.477365827497	3386
64	8	13733	10691	714305	714471	rand	390	129894.1079	0.181849641604	3386
64	12	13250	10471	714305	714329	rand	400	551993.16185	0.77278687177	3386
64	9	13115	10340	714305	714306	rand	410	235457.621387	0.329655306638	3386
64	11	12967	10332	714305	714345	rand	420	446653.648362	0.625473352465	3386
64	9	12805	10294	714305	714393	rand	430	235580.621387	0.329884322887	3386
64	11	12644	10267	714305	714306	rand	440	446674.648362	0.625521154881	3386
64	11	12515	10169	714305	714328	rand	450	446512.648362	0.625152466184	3386
64	10	12195	10028	714305	714317	rand	460	340939.134875	0.477307915591	3386
64	10	12115	10007	714305	714307	rand	470	340970.134875	0.477372032614	3386
64	9	12123	10030	714305	714341	rand	480	235431.621387	0.329606906797	3386
64	7	12068	9985	714305	714318	rand	490	24447.5944123	0.0342299250961	3386
64	6	11941	9972	714305	714377	rand	500	-81157.9190751	-0.113618973392	3386
64	22	545421	346	714305	25077	lin	2	2296440.29672	91.5755591468	3386
64	39	545421	1529	714305	86950	lin	4	4028467.02601	46.3308456126	3386
64	50	545421	4429	714305	154451	lin	6	5121724.67437	33.1608385467	3386
64	61	545421	8598	714305	237187	lin	8	6199747.32274	26.1386472393	3386
64	66	545421	13318	714305	337493	lin	10	6627058.89017	19.636137313	3386
64	73	545421	18094	714305	465003	lin	12	7238213.48459	15.565950079	3386
64	80	545421	23021	714305	610314	lin	14	7831567.079	12.8320292161	3386
