prop	clks	bids	imps	budget	spend	algo	para	revenue	roi	campaign
64	0	523848	5	681681	0	rand	2	0.0	0.0	3476
64	0	523848	67	681681	66	rand	4	-66.0	-1.0	3476
64	0	523848	452	681681	1489	rand	6	-1489.0	-1.0	3476
64	1	523848	2923	681681	13530	rand	8	-13378.0151704	-0.988766827081	3476
64	0	523848	5146	681681	26166	rand	10	-26166.0	-1.0	3476
64	3	523848	7544	681681	42969	rand	12	-42513.0455112	-0.989388757271	3476
64	3	523848	10161	681681	64487	rand	14	-64031.0455112	-0.992929513099	3476
64	5	523848	12487	681681	85986	rand	16	-85226.075852	-0.991162233992	3476
64	2	523848	14704	681681	108505	rand	18	-108201.030341	-0.997198565419	3476
64	7	523848	17019	681681	135195	rand	20	-134131.106193	-0.992130671939	3476
64	7	523848	24479	681681	253461	rand	25	-252397.106193	-0.995802534484	3476
64	10	523848	32432	681681	398796	rand	30	-397276.151704	-0.996188907873	3476
64	12	523848	40536	681681	575531	rand	35	-573707.182045	-0.996831069125	3476
64	14	456339	42093	681681	681689	rand	40	-679542.212386	-0.996878566441	3476
64	9	333178	38466	681681	681693	rand	45	-680307.136534	-0.997993378859	3476
64	7	273596	35630	681681	681705	rand	50	-680614.106193	-0.998439301536	3476
64	10	226830	33306	681681	681702	rand	55	-680161.151704	-0.997770440578	3476
64	9	198050	31349	681681	681686	rand	60	-680271.136534	-0.997993272881	3476
64	11	171921	29608	681681	681692	rand	65	-679999.166874	-0.997547448658	3476
64	4	151651	27782	681681	681703	rand	70	-681065.060682	-0.999108165765	3476
64	7	133447	25683	681681	681728	rand	75	-680607.106193	-0.99843928551	3476
64	8	107582	23295	681681	681718	rand	80	-680453.121363	-0.998216321064	3476
64	8	91594	21819	681681	681691	rand	85	-680450.121363	-0.998216313214	3476
64	9	79486	20767	681681	681692	rand	90	-680303.136534	-0.997993367084	3476
64	6	69684	19423	681681	681699	rand	95	-680754.091022	-0.99866223491	3476
64	8	63414	18141	681681	681693	rand	100	-680404.121363	-0.998216192839	3476
64	5	52440	16586	681681	681717	rand	110	-680870.075852	-0.998885136881	3476
64	7	44923	15569	681681	681705	rand	120	-680584.106193	-0.998439232849	3476
64	7	39730	14986	681681	681770	rand	130	-680601.106193	-0.998439271772	3476
64	8	35271	14547	681681	681715	rand	140	-680414.121363	-0.998216219009	3476
64	7	31843	13977	681681	681714	rand	150	-680604.106193	-0.998439278641	3476
64	8	29357	13578	681681	681691	rand	160	-680391.121363	-0.998216158818	3476
64	9	26882	13152	681681	681734	rand	170	-680228.136534	-0.997993146283	3476
64	8	24530	12605	681681	681706	rand	180	-680462.121363	-0.998216344613	3476
64	10	23123	12285	681681	681683	rand	190	-680031.151704	-0.997770015309	3476
64	8	21303	11802	681681	681730	rand	200	-680432.121363	-0.998216266113	3476
64	8	20177	11568	681681	681692	rand	210	-680307.121363	-0.998215938953	3476
64	6	19326	11330	681681	681691	rand	220	-680697.091022	-0.998662123039	3476
64	8	18095	11029	681681	681697	rand	230	-680313.121363	-0.99821595466	3476
64	4	17434	10801	681681	681771	rand	240	-680977.060682	-0.99910805062	3476
64	8	16492	10525	681681	681698	rand	250	-680370.121363	-0.998216103857	3476
64	9	15894	10311	681681	681717	rand	260	-680253.136534	-0.997993219888	3476
64	6	15264	10159	681681	681730	rand	270	-680734.091022	-0.998662195659	3476
64	6	14779	9989	681681	681694	rand	280	-680750.091022	-0.99866222706	3476
64	9	14634	9949	681681	681880	rand	290	-680301.136534	-0.997993361197	3476
64	5	13905	9681	681681	681731	rand	300	-680872.075852	-0.998885140152	3476
64	7	13523	9613	681681	681704	rand	310	-680559.106193	-0.998439175604	3476
64	7	13249	9485	681681	681697	rand	320	-680601.106193	-0.998439271772	3476
64	5	12877	9373	681681	681755	rand	330	-680890.075852	-0.998885169591	3476
64	4	12586	9297	681681	681743	rand	340	-681011.060682	-0.999108095111	3476
64	4	12473	9225	681681	681682	rand	350	-681064.060682	-0.999108164457	3476
64	6	12180	9158	681681	681764	rand	360	-680765.091022	-0.998662256497	3476
64	6	11835	9029	681681	681682	rand	370	-680749.091022	-0.998662225098	3476
64	7	11884	9062	681681	681730	rand	380	-680609.106193	-0.998439290089	3476
64	6	11707	8999	681681	681702	rand	390	-680589.091022	-0.998661911021	3476
64	7	11437	8873	681681	681726	rand	400	-680578.106193	-0.99843921911	3476
64	5	11411	8934	681681	681892	rand	410	-680873.075852	-0.998885141787	3476
64	3	11438	8914	681681	681745	rand	420	-681194.045511	-0.999331101755	3476
64	5	11129	8793	681681	681742	rand	430	-680837.075852	-0.998885082904	3476
64	5	10873	8697	681681	681764	rand	440	-680920.075852	-0.998885218654	3476
64	4	11029	8821	681681	681714	rand	450	-681033.060682	-0.999108123897	3476
64	5	10929	8779	681681	681726	rand	460	-680882.075852	-0.998885156507	3476
64	5	10623	8666	681681	681846	rand	470	-680824.075852	-0.998885061639	3476
64	4	10591	8630	681681	681714	rand	480	-680981.060682	-0.999108055854	3476
64	7	10524	8678	681681	681911	rand	490	-680590.106193	-0.998439246587	3476
64	7	10558	8657	681681	681742	rand	500	-680602.106193	-0.998439274062	3476
64	74	523848	1897	681681	95166	lin	2	-83919.1226095	-0.881818323871	3476
64	108	523848	4890	681681	206617	lin	4	-190202.638403	-0.920556577644	3476
64	132	523848	8283	681681	351350	lin	6	-331288.002493	-0.942900249019	3476
64	147	523848	12495	681681	554571	lin	8	-532229.230049	-0.959713418207	3476
64	138	464356	14794	681681	681717	lin	10	-660691.093515	-0.969231357801	3476
64	119	358997	14652	681681	681704	lin	12	-663544.805278	-0.973466296688	3476
64	107	277979	14407	681681	681684	lin	14	-665348.623233	-0.9761412642	3476
64	99	226786	14193	681681	681748	lin	16	-666628.50187	-0.977927167447	3476
64	90	194850	14105	681681	681725	lin	18	-667973.365336	-0.979933111523	3476
64	82	163630	13993	681681	681750	lin	20	-669214.243973	-0.981717505465	3476
64	60	118382	13146	681681	681718	lin	25	-672455.910224	-0.986620562996	3476
64	43	97285	12906	681681	681697	lin	30	-675109.652327	-0.99041238816	3476
64	39	83920	12787	681681	681750	lin	35	-675749.591646	-0.991304667233	3476
64	35	76760	12718	681681	681726	lin	40	-676333.530964	-0.992196221485	3476
64	29	67455	12060	681681	681775	lin	45	-677230.439942	-0.993533869798	3476
64	29	59389	11344	681681	681748	lin	50	-677267.439942	-0.993534220767	3476
64	27	53915	11076	681681	681746	lin	55	-677569.409601	-0.993980118914	3476
64	26	49581	10949	681681	681697	lin	60	-677672.39443	-0.994202660749	3476
64	24	45666	10815	681681	681746	lin	65	-677945.36409	-0.994648366532	3476
64	24	42704	10742	681681	681719	lin	70	-677992.36409	-0.994648735534	3476
64	22	40016	10604	681681	681688	lin	75	-678161.333749	-0.995093702539	3476
64	21	37711	10496	681681	681710	lin	80	-678433.318578	-0.995317540551	3476
64	22	35656	10409	681681	681717	lin	85	-678205.333749	-0.995094019284	3476
64	22	33946	10344	681681	681859	lin	90	-678332.333749	-0.995094933295	3476
